Input name	Full structure level	sn-DB-position level	sn-position level	Molecular species level	Species level
PG(18:1(11Z)/20:3(8Z,11Z,14Z))	PG(18:1(11Z)/20:3(8Z,11Z,14Z))	PG(18:1(11)/20:3(8,11,14))	PG(18:1/20:3)	PG(18:1_20:3))	PG(38:4)
PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:1(11)/20:4(5,8,11,14))	PG(18:1/20:4)	PG(18:1_20:4))	PG(38:5)
PG(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:1(11)/22:4(7,10,13,16))	PG(18:1/22:4)	PG(18:1_22:4))	PG(40:5)
PG(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:1(11)/22:5(4,7,10,13,16))	PG(18:1/22:5)	PG(18:1_22:5))	PG(40:6)
PG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:1(11)/22:5(7,10,13,16,19))	PG(18:1/22:5)	PG(18:1_22:5))	PG(40:6)
PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PG(18:1(11)/22:6(4,7,10,13,16,19))	PG(18:1/22:6)	PG(18:1_22:6))	PG(40:7)
PG(18:1(9Z)/16:0)	PG(18:1(9Z)/16:0)	PG(18:1(9)/16:0)	PG(18:1/16:0)	PG(16:0_18:1)	PG(34:1)
PG(18:1(9Z)/16:1(9Z))	PG(18:1(9Z)/16:1(9Z))	PG(18:1(9)/16:1(9))	PG(18:1/16:1)	PG(16:1_18:1)	PG(34:2)
PG(18:1(9Z)/18:1(11Z))	PG(18:1(9Z)/18:1(11Z))	PG(18:1(9)/18:1(11))	PG(18:1/18:1)	PG(18:1_18:1))	PG(36:2)
PG(18:1(9Z)/18:1(9Z))	PG(18:1(9Z)/18:1(9Z))	PG(18:1(9)/18:1(9))	PG(18:1/18:1)	PG(18:1_18:1))	PG(36:2)
PG(18:1(9Z)/18:2(9Z,12Z))	PG(18:1(9Z)/18:2(9Z,12Z))	PG(18:1(9)/18:2(9,12))	PG(18:1/18:2)	PG(18:1_18:2))	PG(36:3)
PG(18:1(9Z)/18:3(6Z,9Z,12Z))	PG(18:1(9Z)/18:3(6Z,9Z,12Z))	PG(18:1(9)/18:3(6,9,12))	PG(18:1/18:3)	PG(18:1_18:3))	PG(36:4)
PG(18:1(9Z)/18:3(9Z,12Z,15Z))	PG(18:1(9Z)/18:3(9Z,12Z,15Z))	PG(18:1(9)/18:3(9,12,15))	PG(18:1/18:3)	PG(18:1_18:3))	PG(36:4)
PG(18:1(9Z)/20:3(5Z,8Z,11Z))	PG(18:1(9Z)/20:3(5Z,8Z,11Z))	PG(18:1(9)/20:3(5,8,11))	PG(18:1/20:3)	PG(18:1_20:3))	PG(38:4)
PG(18:1(9Z)/20:3(8Z,11Z,14Z))	PG(18:1(9Z)/20:3(8Z,11Z,14Z))	PG(18:1(9)/20:3(8,11,14))	PG(18:1/20:3)	PG(18:1_20:3))	PG(38:4)
PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:1(9)/20:4(5,8,11,14))	PG(18:1/20:4)	PG(18:1_20:4))	PG(38:5)
PG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:1(9)/22:4(7,10,13,16))	PG(18:1/22:4)	PG(18:1_22:4))	PG(40:5)
PG(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:1(9)/22:5(4,7,10,13,16))	PG(18:1/22:5)	PG(18:1_22:5))	PG(40:6)
PG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:1(9)/22:5(7,10,13,16,19))	PG(18:1/22:5)	PG(18:1_22:5))	PG(40:6)
PG(18:2(9Z,12Z)/16:0)	PG(18:2(9Z,12Z)/16:0)	PG(18:2(9,12)/16:0)	PG(18:2/16:0)	PG(16:0_18:2)	PG(34:2)
PG(18:2(9Z,12Z)/16:1(9Z))	PG(18:2(9Z,12Z)/16:1(9Z))	PG(18:2(9,12)/16:1(9))	PG(18:2/16:1)	PG(16:1_18:2)	PG(34:3)
PG(18:2(9Z,12Z)/18:0)	PG(18:2(9Z,12Z)/18:0)	PG(18:2(9,12)/18:0)	PG(18:2/18:0)	PG(18:0_18:2)	PG(36:2)
PG(18:2(9Z,12Z)/18:1(11Z))	PG(18:2(9Z,12Z)/18:1(11Z))	PG(18:2(9,12)/18:1(11))	PG(18:2/18:1)	PG(18:1_18:2)	PG(36:3)
PG(18:2(9Z,12Z)/18:1(9Z))	PG(18:2(9Z,12Z)/18:1(9Z))	PG(18:2(9,12)/18:1(9))	PG(18:2/18:1)	PG(18:1_18:2)	PG(36:3)
PG(18:2(9Z,12Z)/18:2(9Z,12Z))	PG(18:2(9Z,12Z)/18:2(9Z,12Z))	PG(18:2(9,12)/18:2(9,12))	PG(18:2/18:2)	PG(18:2_18:2))	PG(36:4)
PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))	PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))	PG(18:2(9,12)/18:3(6,9,12))	PG(18:2/18:3)	PG(18:2_18:3))	PG(36:5)
PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))	PG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))	PG(18:2(9,12)/18:3(9,12,15))	PG(18:2/18:3)	PG(18:2_18:3))	PG(36:5)
PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))	PG(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))	PG(18:2(9,12)/20:3(5,8,11))	PG(18:2/20:3)	PG(18:2_20:3))	PG(38:5)
PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	PG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	PG(18:2(9,12)/20:3(8,11,14))	PG(18:2/20:3)	PG(18:2_20:3))	PG(38:5)
PG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))	PG(18:2(9,12)/20:4(5,8,11,14))	PG(18:2/20:4)	PG(18:2_20:4))	PG(38:6)
PG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))	PG(18:2(9,12)/22:4(7,10,13,16))	PG(18:2/22:4)	PG(18:2_22:4))	PG(40:6)
PG(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	PG(18:2(9,12)/22:5(4,7,10,13,16))	PG(18:2/22:5)	PG(18:2_22:5))	PG(40:7)
PG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))	PG(18:2(9,12)/22:5(7,10,13,16,19))	PG(18:2/22:5)	PG(18:2_22:5))	PG(40:7)
PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PG(18:2(9,12)/22:6(4,7,10,13,16,19))	PG(18:2/22:6)	PG(18:2_22:6))	PG(40:8)
PG(18:3(6Z,9Z,12Z)/16:0)	PG(18:3(6Z,9Z,12Z)/16:0)	PG(18:3(6,9,12)/16:0)	PG(18:3/16:0)	PG(16:0_18:3)	PG(34:3)
PG(18:3(6Z,9Z,12Z)/16:1(9Z))	PG(18:3(6Z,9Z,12Z)/16:1(9Z))	PG(18:3(6,9,12)/16:1(9))	PG(18:3/16:1)	PG(16:1_18:3)	PG(34:4)
PG(18:3(6Z,9Z,12Z)/18:0)	PG(18:3(6Z,9Z,12Z)/18:0)	PG(18:3(6,9,12)/18:0)	PG(18:3/18:0)	PG(18:0_18:3)	PG(36:3)
PG(18:3(6Z,9Z,12Z)/18:1(11Z))	PG(18:3(6Z,9Z,12Z)/18:1(11Z))	PG(18:3(6,9,12)/18:1(11))	PG(18:3/18:1)	PG(18:1_18:3)	PG(36:4)
PG(18:3(6Z,9Z,12Z)/18:1(9Z))	PG(18:3(6Z,9Z,12Z)/18:1(9Z))	PG(18:3(6,9,12)/18:1(9))	PG(18:3/18:1)	PG(18:1_18:3)	PG(36:4)
PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))	PG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))	PG(18:3(6,9,12)/18:2(9,12))	PG(18:3/18:2)	PG(18:2_18:3)	PG(36:5)
PG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))	PG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))	PG(18:3(6,9,12)/18:3(6,9,12))	PG(18:3/18:3)	PG(18:3_18:3))	PG(36:6)
PG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))	PG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))	PG(18:3(6,9,12)/18:3(9,12,15))	PG(18:3/18:3)	PG(18:3_18:3))	PG(36:6)
