Input name	Full structure level	sn-DB-position level	sn-position level	Molecular species level	Species level
2-Methoxyestrone					
Cortexolone					
3-O-Sulfogalactosylceramide (d18:1/24:0)					
Androsterone					
7-Dehydrocholesterol					
Cortisol					
Cholesterol					
Glycerophosphocholine					
Glycerol 3-phosphate					
Glycocholic acid					
Estrone					
Estradiol					
Estriol					
Oleic acid					
Palmitic acid					
L-Palmitoylcarnitine					
Mevalonic acid					
Testosterone					
Squalene					
Tetrahydrocorticosterone					
Vitamin A					
3b-Hydroxy-5-cholenoic acid					
3a,7a,12b-Trihydroxy-5b-cholanoic acid					
16b-Hydroxyestrone					
16-a-Hydroxypregnenolone					
2-Hydroxy-3-methylpentanoic acid					
18-Hydroxycorticosterone					
18-Oxocortisol					
16a-Hydroxyestrone					
2-Hydroxyestradiol					
3a,7a,12a,19-Tetrahydroxy-5b-cholanoic acid					
2-Octenedioic acid					
2-Hydroxyestrone					
2-Methoxyestradiol-3-methylether					
16b-Hydroxyestradiol					
3b,12a-Dihydroxy-5a-cholanoic acid					
3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid					
16a-Hydroxydehydroisoandrosterone					
2-Methyl-3-hydroxybutyric acid					
3-Hydroxymethylglutaric acid					
3b,7a-Dihydroxy-5b-cholanoic acid					
17a-Hydroxypregnenolone					
3a,6a,7b-Trihydroxy-5b-cholanoic acid					
Epiandrosterone					
3b,17b-Dihydroxyetiocholane					
17-Hydroxyprogesterone					
3b,7a,12a-Trihydroxy-5a-Cholanoic acid					
2-Hydroxyestradiol-3-methyl ether					
Allolithocholic acid					
3a,7b,12b-Trihydroxy-5b-cholanoic acid					
2-Octenoic acid					
3-Hexenedioic acid					
3-Hydroxytetradecanedioic acid					
3b,7b,12a-Trihydroxy-5b-cholanoic acid					
2-Ethylhydracrylic acid					
16-Ketoestradiol					
(5R)-5-Hydroxyhexanoic acid					
3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid					
3a,12b-Dihydroxy-5b-cholanoic acid					
3a,6b,7b-Trihydroxy-5b-cholanoic acid					
17-Hydroxypregnenolone sulfate					
18-Hydroxycortisol					
3b,7a,12a-Trihydroxy-5b-cholanoic acid					
2-Methylglutaric acid					
Citramalic acid					
3b,7b,12a-Trihydroxy-5a-Cholanoic acid					
17a-Estradiol					
24,25-Dihydroxyvitamin D					
16,17-Epiestriol					
3a,7b,12a-Trihydroxy-5a-Cholanoic acid					
3b,12a-Dihydroxy-5b-cholanoic acid					
7a,12a-Dihydroxy-3-oxo-4-cholenoic acid					
Adipic acid					
5a-Tetrahydrocorticosterone					
5a-Androstane-3a,17a-diol					
Nutriacholic acid					
7Z,10Z-Hexadecadienoic acid					
5b-Cholestane-3a,7a,12a,23S,25-pentol					
Etiocholanolone					
5a-Androstane-3b,17b-diol					
Stigmastanol					
Androstanediol					
5-Tetradecenoic acid					
7-Ketocholesterol					
Capric acid					
5b-Cholestane-3a,7a,12a,23R,25-pentol					
Chenodeoxycholic acid					
5a-Cholestane-3a,7a,12a,25-tetrol					
5Z-Tetradecenoic acid					
3-Methylglutaconic acid					
5-Androstene-3b,16b,17a-triol					
5-Hydroxyhexanoic acid					
5a-Tetrahydrocortisol					
5Z-Dodecenoic acid					
Campestanol					
Caproic acid					
5-Androstene-3b,16a,17a-triol					
Chenodeoxycholic acid disulfate					
Epietiocholanolone					
5-Androstenetriol					
Dihydroandrosterone					
3-Methyladipic acid					
Goshuyic acid					
B-Carotene					
Elaidic acid					
5beta-Coprostanol					
Glucosylgalactosyl hydroxylysine					
cis-4-Decenedioic acid					
CE(18:2(9Z,12Z))					CE(18:2)
Cholic acid					
Ethylmalonic acid					
Dodecanedioic acid					
Deoxycholic acid					
Epitestosterone					
Deoxycholic acid glycine conjugate					
Citraconic acid					
Erythronilic acid					
Clionasterol					
Cholesterol sulfate					
CE(16:1(9Z))					CE(16:1)
Deoxycholic acid disulfate					
Isohyodeoxycholic acid					
Leucinic acid					
Heptanoic acid					
Hexadecanedioic acid					
Linoleic acid					
Isoursodeoxycholic acid					
Lithocholic acid glycine conjugate					
Hydroxyoctanoic acid					
Isoallolithocholic acid					
Isolithocholic acid					
Lithocholyltaurine					
Hyodeoxycholic acid					
Mesaconic acid					
Methylglutaric acid					
Hyocholic acid					
Nonadecanoic acid					
Pregnenolone sulfate					
Azelaic acid					
Sebacic acid					
Pristanic acid					
Myristic acid					
Murocholic acid					
Pentadecanoic acid					
Stearic acid					
Pimelic acid					
Monomethyl glutaric acid					
5alpha-Cholestanone					
Tetradecanedioic acid					
Tauroursodeoxycholic acid					
Vitamin D3					
Ergosterol					
Tetrahydrodeoxycorticosterone					
CE(16:0)					CE(16:0)
Undecanedioic acid					
Valeric acid					
Suberic acid					
Androstanedione					
Tetrahydrocortisone					
Sulfolithocholic acid					
5alpha-Cholestanol					
Tridecanoic acid					
Ursocholic acid					
CE(18:1(9Z))					CE(18:1)
Stigmasterol					
Cholest-5-ene					
Behenic acid					
Ursodeoxycholic acid					
Undecanoic acid					
Tetrahydrocortisol					
Farnesyl pyrophosphate					
1,25-Dihydroxyvitamin D3-26,23-lactone					
3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid					
4a-Methyl-5a-cholesta-8,24-dien-3-one					
Dihydrolipoamide					
16-Dehydroprogesterone					
4,4-Dimethylcholesta-8,14,24-trienol					
Arachidonic acid					
3-Hexaprenyl-4,5-Dihydroxybenzoic acid					
Coenzyme Q10					
Leukotriene B4					
Octaprenyl diphosphate					
Dimethylallylpyrophosphate					
Prostaglandin F2a					
Tricosanoic acid					
Lathosterol					
Octanol					
(S)-2,3-Epoxysqualene					
5(S)-Hydroperoxyeicosatetraenoic acid					
4a-Methylzymosterol					
Prostaglandin E2					
15-Keto-13,14-dihydroprostaglandin A2					
Lanosterin					
Succinic acid semialdehyde					
Geranyl-PP					
(13E)-11a-Hydroxy-9,15-dioxoprost-13-enoic acid					
Prostaglandin I2					
Leukotriene A4					
Isopentenyl pyrophosphate					
Prostaglandin H2					
Sphinganine 1-phosphate					
Alpha-Linolenic acid					
Prostaglandin D2					
24-Hydroxycholesterol					
25,26-dihydroxyvitamin D					
Estrone sulfate					
25-Hydroxyvitamin D2					
Allopregnanolone					
Thromboxane A2					
Alloepipregnanolone					
Undecaprenyl diphosphate					
Epipregnanolone					
Prostaglandin F2b					
20-Hydroxy-leukotriene B4					
3-Methylthiopropionic acid					
Palmitaldehyde					
trans-2-Octenoic acid					
Epi-coprostanol					
2-Hydroxycaproic acid					
Progesterone					
Methylsuccinic acid					
alpha-Tocopherol					
Calcitriol					
19-Hydroxy-PGE2					
Pristanal					
Troxilin B3					
5b-Cholestane-3a,7a,12a,23-Tetrol					
2-Ethyl-2-Hydroxybutyric acid					
Docosapentaenoic acid (22n-6)					
Trioxilin A3					
2-Hydroxy-2-methylbutyric acid					
Myristoleic acid					
Tetracosanoic acid					
Tetracosahexaenoic acid					
4-Hydroxyisovaleric acid					
Ubiquinone-1					
cis-5-Tetradecenoylcarnitine					
3''-Hydroxy-e,e-caroten-3-one					
Ethyladipic acid					
2,3-Dimethyl-3-hydroxyglutaric acid					
8-Dehydrocholesterol					
5-Phenylvaleric acid					
Heptacosanoic acid					
2,2-Dimethylsuccinic acid					
Bisnorcholic acid					
Itaconic acid					
Malonylcarnitine					
8-isoprostaglandin PGF2b					
Oleamide					
Prostaglandin F3a					
27-Nor-5b-cholestane-3a,7a,12a,24,25-pentol					
8-iso-PGF3a					
11-cis-Retinaldehyde					
27-Norcholestanehexol					
Trihydroxycoprostanoic acid					
Ethylmethylacetic acid					
Cis-8,11,14,17-Eicosatetraenoic acid					
Docosahexaenoic acid					
Hypogeic acid					
5,6-Epoxy-8,11,14-eicosatrienoic acid					
Varanic acid					
(3R,3''R,6''R,9-cis)-beta,epsilon-Carotene-3,3''-diol					
Arachidic acid					
2,6,10-Trimethylundecanoic acid					
Nonacosanoic acid					
11Z-Eicosenoic acid					
8,9-Epoxyeicosatrienoic acid					
Dodecanoylcarnitine					
Heptadecanoic acid					
2-Hydroxymyristic acid					
CE(12:0)					CE(12:0)
(R)-2-Hydroxycaprylic acid					
14,15-DiHETrE					
(E)-2-Methylglutaconic acid					
7,7'',8,8'',11,11'',12,12''-Hexahydro-y,y-Carotene					
2,3-Dinor-6-keto-prostaglandin F1 a					
14R,15S-EpETrE					
8,9-DiHETrE					
11,12-DiHETrE					
1,11-Undecanedicarboxylic acid					
Homophytanic acid					
5,6-DHET					
Heneicosanoic acid					
Octacosanoic acid					
trans-trans-Muconic acid					
Octadecanol					
Leukotriene E3					
Pentacosanoic acid					
Levuglandin E2					
Oleanolic acid					
4,6-Dimethylnonanoic acid					
Stearaldehyde					
Cholesta-4,6-dien-3-one					
Ursolic acid					
Trimethyltridecanoic acid					
Levuglandin D2					
N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine					
12b-Hydroxy-5b-cholanoic acid					
3,3-Dimethylglutaric acid					
(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid					
7a-Hydroxy-5b-cholanic acid					
Glycochenodeoxycholate-3-sulfate					
3-Sulfodeoxycholic acid					
Beta-Glycerophosphoric acid					
Taurolithocholic acid 3-sulfate					
Taurocholic acid 3-sulfate					
3b,12b-Dihydroxy-5b-cholanoic acid					
Chenodeoxycholic acid 3-sulfate					
Sulfolithocholylglycine					
Ursodeoxycholic acid 3-sulfate					
Prostaglandin E3					
13,14-Dihydro PGE1					
19-Norandrosterone					
Desmosterol					
Prostaglandin A2					
Androsterone sulfate					
13,14-Dihydro-15-keto-PGE2					
Cortisone					
Docosatrienoic acid					
Androsterone glucuronide					
Testosterone sulfate					
Phytofluene					
Cetoleic acid					
6-Keto-prostaglandin F1a					
Delta-Tocopherol					
2,3-Dinor-TXB2					
Vitamin K1 2,3-epoxide					
Prostaglandin B1					
11-Hydroxyandrosterone					
12-Keto-tetrahydro-leukotriene B4					
Neoxanthin					
Prostaglandin D3					
(9-cis,9''-cis)-7,7'',8,8''-Tetrahydro-psi,psi-carotene					
Gamma-Linolenic acid					
Leukotriene D4					
Cortolone					
Retinoyl b-glucuronide					
15-Keto-prostaglandin E2					
Cortol					
Testosterone glucuronide					
Thromboxane					
Palmitoleic acid					
Vaccenic acid					
Lutein					
Prostaglandin G2					
20-Hydroxy-PGE2					
Thromboxane B2					
Dihydrocortisol					
4-Hydroxycrotonic acid					
(3R,3''S,6''R)-b,e-Carotene-3,3''-diol					
1-Hexadecanol					
3-Hydroxy-b,e-caroten-3''-one					
3a,7a,12a-Trihydroxy-5b-cholestan-26-al					
Calcidiol					
Vitamin K1					
Retinyl ester					
CE(10:0)					CE(10:0)
Retinyl palmitate					
Neuroprotectin D1					
Resolvin D1					
5a-Pregnane-3,20-dione					
Etiocholanedione					
Bovinic acid					
5-Androstenediol					
13-L-Hydroperoxylinoleic acid					
15(S)-HETE					
7-Dehydrodesmosterol					
19-Hydroxyandrost-4-ene-3,17-dione					
3b,5a,6b-Cholestanetriol					
Alpha-Carotene					
Pregnanediol					
21-Hydroxypregnenolone					
11-Dehydrocorticosterone					
11b-Hydroxyprogesterone					
22b-Hydroxycholesterol					
Resolvin D5					
Tuberculostearic acid					
Reduced Vitamin K (phylloquinone)					
12-Keto-leukotriene B4					
Delta-12-Prostaglandin J2					
15-Keto-prostaglandin F2a					
6-Ketoprostaglandin E1					
11-Dehydro-thromboxane B2					
12(S)-HPETE					
15(S)-HPETE					
14,15-Epoxy-5,8,11-eicosatrienoic acid					
4-Hydroxynonenal					
Lipoxin A4					
Estrone glucuronide					
Geranylgeranyl-PP					
19-Nor-5-androstenediol					
7a-Hydroxydehydroepiandrosterone					
7b-Hydroxydehydroepiandrosterone					
13S-hydroxyoctadecadienoic acid					
Alpha-dimorphecolic acid					
11,12-Epoxyeicosatrienoic acid					
8-HETE					
16(R)-HETE					
11(R)-HETE					
11,12,15-THETA					
13,14-Dihydro-15-keto PGF2a					
Hepoxilin A3					
12(R)-HPETE					
11H-14,15-EETA					
11,14,15-THETA					
11(R)-HPETE					
8(S)-HPETE					
9,10-Epoxyoctadecenoic acid					
12,13-EpOME					
9,10-DHOME					
8(R)-Hydroperoxylinoleic acid					
9,12,13-TriHOME					
9,10,13-TriHOME					
7C-aglycone					
5C-aglycone					
Lactosylceramide (d18:1/12:0)					
Trihexosylceramide (d18:1/12:0)					
Ganglioside GD3 (d18:1/16:0)					
Ganglioside GD2 (d18:1/24:0)					
Ganglioside GM2 (d18:1/26:0)					
cis-4-Octenedioic acid					
15(S)-Hydroxyeicosatrienoic acid					
9E,11E-Octadecadienoic acid					
10E,12Z-Octadecadienoic acid					
Tsuzuic acid					
Eicosadienoic acid					
8-iso-15-keto-PGF2a					
15-Deoxy-d-12,14-PGJ2					
5-HEPE					
8-Isoprostaglandin F2a					
N-Acetyl-leukotriene E4					
Leukotriene B4 dimethylamide					
6-trans-Leukotriene B4					
6-trans-12-epi-Leukotriene B4					
12(S)-Leukotriene B4					
Thromboxane B3					
Dolichol-20					
CE(18:1(11Z))					CE(18:1)
CE(20:1(11Z))					CE(20:1)
TG(16:0/16:0/16:1(9Z))	TG(16:0/16:0/16:1(9Z))	TG(16:0/16:0/16:1(9))	TG(16:0/16:0/16:1)	TG(16:0_16:0_16:1))	TG(48:1)
TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))	TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))	TG(16:0/16:0/20:4(5,8,11,14))	TG(16:0/16:0/20:4)	TG(16:0_16:0_20:4))	TG(52:4)
TG(16:0/18:0/18:2(9Z,12Z))	TG(16:0/18:0/18:2(9Z,12Z))	TG(16:0/18:0/18:2(9,12))	TG(16:0/18:0/18:2)	TG(16:0_18:0_18:2))	TG(52:2)
TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))	TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))	TG(16:0/18:0/20:4(5,8,11,14))	TG(16:0/18:0/20:4)	TG(16:0_18:0_20:4))	TG(54:4)
TG(16:0/16:1(9Z)/18:1(9Z))	TG(16:0/16:1(9Z)/18:1(9Z))	TG(16:0/16:1(9)/18:1(9))	TG(16:0/16:1/18:1)	TG(16:0_16:1_18:1))	TG(50:2)
TG(16:0/16:1(9Z)/20:1(11Z))	TG(16:0/16:1(9Z)/20:1(11Z))	TG(16:0/16:1(9)/20:1(11))	TG(16:0/16:1/20:1)	TG(16:0_16:1_20:1))	TG(52:2)
TG(16:0/16:1(9Z)/18:2(9Z,12Z))	TG(16:0/16:1(9Z)/18:2(9Z,12Z))	TG(16:0/16:1(9)/18:2(9,12))	TG(16:0/16:1/18:2)	TG(16:0_16:1_18:2))	TG(50:3)
TG(16:0/18:1(9Z)/20:0)	TG(16:0/18:1(9Z)/20:0)	TG(16:0/18:1(9)/20:0)	TG(16:0/18:1/20:0)	TG(16:0_18:1_20:0))	TG(54:1)
TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	TG(16:0/18:1(9)/20:4(5,8,11,14))	TG(16:0/18:1/20:4)	TG(16:0_18:1_20:4))	TG(54:5)
TG(16:0/20:1(11Z)/20:1(11Z))	TG(16:0/20:1(11Z)/20:1(11Z))	TG(16:0/20:1(11)/20:1(11))	TG(16:0/20:1/20:1)	TG(16:0_20:1_20:1))	TG(56:2)
TG(16:0/18:2(9Z,12Z)/20:1(11Z))	TG(16:0/18:2(9Z,12Z)/20:1(11Z))	TG(16:0/18:2(9,12)/20:1(11))	TG(16:0/18:2/20:1)	TG(16:0_18:2_20:1))	TG(54:3)
TG(18:0/18:0/20:0)	TG(18:0/18:0/20:0)	TG(18:0/18:0/20:0)	TG(18:0/18:0/20:0)	TG(18:0_18:0_20:0))	TG(56:0)
TG(18:0/18:0/18:2(9Z,12Z))	TG(18:0/18:0/18:2(9Z,12Z))	TG(18:0/18:0/18:2(9,12))	TG(18:0/18:0/18:2)	TG(18:0_18:0_18:2))	TG(54:2)
TG(18:0/20:0/20:4(5Z,8Z,11Z,14Z))	TG(18:0/20:0/20:4(5Z,8Z,11Z,14Z))	TG(18:0/20:0/20:4(5,8,11,14))	TG(18:0/20:0/20:4)	TG(18:0_20:0_20:4))	TG(58:4)
TG(18:0/18:1(9Z)/20:1(11Z))	TG(18:0/18:1(9Z)/20:1(11Z))	TG(18:0/18:1(9)/20:1(11))	TG(18:0/18:1/20:1)	TG(18:0_18:1_20:1))	TG(56:2)
TG(18:0/20:1(11Z)/20:1(11Z))	TG(18:0/20:1(11Z)/20:1(11Z))	TG(18:0/20:1(11)/20:1(11))	TG(18:0/20:1/20:1)	TG(18:0_20:1_20:1))	TG(58:2)
TG(18:0/18:2(9Z,12Z)/20:0)	TG(18:0/18:2(9Z,12Z)/20:0)	TG(18:0/18:2(9,12)/20:0)	TG(18:0/18:2/20:0)	TG(18:0_18:2_20:0))	TG(56:2)
TG(20:0/20:0/20:4(5Z,8Z,11Z,14Z))	TG(20:0/20:0/20:4(5Z,8Z,11Z,14Z))	TG(20:0/20:0/20:4(5,8,11,14))	TG(20:0/20:0/20:4)	TG(20:0_20:0_20:4))	TG(60:4)
TG(20:0/20:1(11Z)/20:1(11Z))	TG(20:0/20:1(11Z)/20:1(11Z))	TG(20:0/20:1(11)/20:1(11))	TG(20:0/20:1/20:1)	TG(20:0_20:1_20:1))	TG(60:2)
TG(20:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))	TG(20:0/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))	TG(20:0/20:1(11)/20:4(5,8,11,14))	TG(20:0/20:1/20:4)	TG(20:0_20:1_20:4))	TG(60:5)
TG(16:1(9Z)/18:0/18:2(9Z,12Z))	TG(16:1(9Z)/18:0/18:2(9Z,12Z))	TG(16:1(9)/18:0/18:2(9,12))	TG(16:1/18:0/18:2)	TG(16:1_18:0_18:2))	TG(52:3)
TG(16:1(9Z)/16:1(9Z)/18:0)	TG(16:1(9Z)/16:1(9Z)/18:0)	TG(16:1(9)/16:1(9)/18:0)	TG(16:1/16:1/18:0)	TG(16:1_16:1_18:0))	TG(50:2)
TG(16:1(9Z)/16:1(9Z)/20:0)	TG(16:1(9Z)/16:1(9Z)/20:0)	TG(16:1(9)/16:1(9)/20:0)	TG(16:1/16:1/20:0)	TG(16:1_16:1_20:0))	TG(52:2)
TG(16:1(9Z)/16:1(9Z)/18:1(9Z))	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))	TG(16:1(9)/16:1(9)/18:1(9))	TG(16:1/16:1/18:1)	TG(16:1_16:1_18:1))	TG(50:3)
TG(16:1(9Z)/16:1(9Z)/20:1(11Z))	TG(16:1(9Z)/16:1(9Z)/20:1(11Z))	TG(16:1(9)/16:1(9)/20:1(11))	TG(16:1/16:1/20:1)	TG(16:1_16:1_20:1))	TG(52:3)
TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))	TG(16:1(9)/16:1(9)/18:2(9,12))	TG(16:1/16:1/18:2)	TG(16:1_16:1_18:2))	TG(50:4)
TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))	TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))	TG(16:1(9)/18:1(9)/18:2(9,12))	TG(16:1/18:1/18:2)	TG(16:1_18:1_18:2))	TG(52:4)
TG(16:1(9Z)/18:2(9Z,12Z)/20:0)	TG(16:1(9Z)/18:2(9Z,12Z)/20:0)	TG(16:1(9)/18:2(9,12)/20:0)	TG(16:1/18:2/20:0)	TG(16:1_18:2_20:0))	TG(54:3)
TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))	TG(16:1(9Z)/18:2(9Z,12Z)/20:1(11Z))	TG(16:1(9)/18:2(9,12)/20:1(11))	TG(16:1/18:2/20:1)	TG(16:1_18:2_20:1))	TG(54:4)
TG(18:1(9Z)/20:0/20:1(11Z))	TG(18:1(9Z)/20:0/20:1(11Z))	TG(18:1(9)/20:0/20:1(11))	TG(18:1/20:0/20:1)	TG(18:1_20:0_20:1))	TG(58:2)
TG(18:1(9Z)/18:1(9Z)/20:1(11Z))	TG(18:1(9Z)/18:1(9Z)/20:1(11Z))	TG(18:1(9)/18:1(9)/20:1(11))	TG(18:1/18:1/20:1)	TG(18:1_18:1_20:1))	TG(56:3)
TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	TG(18:1(9)/18:1(9)/20:4(5,8,11,14))	TG(18:1/18:1/20:4)	TG(18:1_18:1_20:4))	TG(56:6)
TG(18:1(9Z)/20:1(11Z)/20:1(11Z))	TG(18:1(9Z)/20:1(11Z)/20:1(11Z))	TG(18:1(9)/20:1(11)/20:1(11))	TG(18:1/20:1/20:1)	TG(18:1_20:1_20:1))	TG(58:3)
TG(18:1(9Z)/18:2(9Z,12Z)/20:1(11Z))	TG(18:1(9Z)/18:2(9Z,12Z)/20:1(11Z))	TG(18:1(9)/18:2(9,12)/20:1(11))	TG(18:1/18:2/20:1)	TG(18:1_18:2_20:1))	TG(56:4)
TG(20:1(11Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))	TG(20:1(11Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))	TG(20:1(11)/20:1(11)/20:4(5,8,11,14))	TG(20:1/20:1/20:4)	TG(20:1_20:1_20:4))	TG(60:6)
Beta-Cortol					
5a-Androstan-3b-ol					
8-isoprostaglandin E2					
4-Androstenediol					
19-Noretiocholanolone					
Androstenol					
Tetrahydrodeoxycortisol					
20-Hydroxyeicosatetraenoic acid					
Ethyltestosterone					
11-Ketoetiocholanolone					
5a-Androst-3-en-17-one					
20-Carboxy-leukotriene B4					
12-HETE					
4,8 Dimethylnonanoyl carnitine					
5-alpha-Dihydrotestosterone glucuronide					
11-cis-Retinol					
9-cis-Retinol					
9-cis-Retinal					
13-cis-Retinal					
13-cis Retinol					
Ercalcitriol					
1-a,24R,25-Trihydroxyvitamin D2					
24-Hydroxycalcitriol					
18-Hydroxyarachidonic acid					
Tetracosatetraenoic acid (24:4n-6)					
25-Hydroxycholesterol					
4-Hydroxyretinoic acid					
6beta-Hydroxytestosterone					
Linoelaidic acid					
Zymosterol intermediate 2					
5a-Dihydrotestosterone sulfate					
7-a,27-Dihydroxycholesterol					
20alpha-Hydroxycholesterol					
4-oxo-Retinoic acid					
trans-Hexadec-2-enoyl carnitine					
Gamma-linolenyl carnitine					
Tetracosapentaenoic acid (24:5n-6)					
Tetracosapentaenoic acid (24:5n-3)					
cis,cis-Muconic acid					
Beta-tocopherol					
Arachidyl carnitine					
Elaidic carnitine					
Leukotriene F4					
Lumisterol 3					
Docosapentaenoic acid (22n-3)					
Stearidonic acid					
Tachysterol 3					
8-iso-13,14-dihydro-15-keto-PGF2a					
Lactodifucotetraose					
Coenzyme Q9					
Ubiquinone-4					
CE(14:0)					CE(14:0)
CE(20:4(5Z,8Z,11Z,14Z))					CE(20:4)
CE(22:0)					CE(22:0)
CE(20:5(5Z,8Z,11Z,14Z,17Z)					CE(20:5)
CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))					CE(22:6)
CE(20:2(6Z,9Z))					CE(20:2)
CE(20:3(8Z,11Z,14Z))					CE(20:3)
CE(22:2(13Z,16Z))					CE(22:2)
CE(20:0)					CE(20:0)
3a,21-Dihydroxy-5b-pregnane-11,20-dione					
21-Hydroxy-5b-pregnane-3,11,20-trione					
11b,21-Dihydroxy-5b-pregnane-3,20-dione					
17a,21-Dihydroxy-5b-pregnane-3,11,20-trione					
3a-Hydroxy-5b-pregnane-20-one					
17alpha,21-Dihydroxypregnenolone					
5b-Dihydrotestosterone					
7a-Hydroxyandrost-4-ene-3,17-dione					
Adrenosterone					
16a-Hydroxyandrost-4-ene-3,17-dione					
3-Hexaprenyl-4-hydroxybenzoic acid					
2-Hexaprenyl-6-methoxyphenol					
4,4-Dimethyl-5a-cholesta-8-en-3b-ol					
5a-Cholest-8-en-3b-ol					
4a-Methylfecosterol					
24-Methylenelophenol					
5-Dehydroepisterol					
Delta7-Avenasterol					
3a,7a-Dihydroxy-5b-cholestane					
Delta 8,14 -Sterol					
9(S)-HPODE					
DG(14:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(14:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(14:0/22:5(4,7,10,13,16)/0:0)	DG(14:0/22:5/0:0)	DG(0:0_14:0_22:5)	DG(36:5)
DG(14:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	DG(14:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	DG(14:0/22:5(7,10,13,16,19)/0:0)	DG(14:0/22:5/0:0)	DG(0:0_14:0_22:5)	DG(36:5)
DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)	DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)	DG(16:0/20:4(5,8,11,14)/0:0)	DG(16:0/20:4/0:0)	DG(0:0_16:0_20:4)	DG(36:4)
DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)	DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)	DG(16:0/20:5(5,8,11,14,17)/0:0)	DG(16:0/20:5/0:0)	DG(0:0_16:0_20:5)	DG(36:5)
DG(16:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(16:0/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(16:0/22:5(4,7,10,13,16)/0:0)	DG(16:0/22:5/0:0)	DG(0:0_16:0_22:5)	DG(38:5)
DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)	DG(16:0/22:5(7,10,13,16,19)/0:0)	DG(16:0/22:5/0:0)	DG(0:0_16:0_22:5)	DG(38:5)
DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)	DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)	DG(16:0/22:6(4,7,10,13,16,19)/0:0)	DG(16:0/22:6/0:0)	DG(0:0_16:0_22:6)	DG(38:6)
DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)	DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)	DG(16:1(9)/20:4(5,8,11,14)/0:0)	DG(16:1/20:4/0:0)	DG(0:0_16:1_20:4)	DG(36:5)
DG(16:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0)	DG(16:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0)	DG(16:1(9)/20:4(8,11,14,17)/0:0)	DG(16:1/20:4/0:0)	DG(0:0_16:1_20:4)	DG(36:5)
DG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)	DG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)	DG(16:1(9)/22:4(7,10,13,16)/0:0)	DG(16:1/22:4/0:0)	DG(0:0_16:1_22:4)	DG(38:5)
DG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	DG(16:1(9)/22:5(4,7,10,13,16)/0:0)	DG(16:1/22:5/0:0)	DG(0:0_16:1_22:5)	DG(38:6)
